Series_Title,Released_Year,Decade,Certificate_Clean,Runtime,IMDB_Rating,Meta_score,Rating_Diff,No_of_Votes,Log_Votes,Gross,Log_Gross,Director,Star1,Star2,Star3,Star4,Avg_Star_Freq,Genre_Drama,Genre_Comedy,Genre_Crime,Genre_Adventure,Genre_Action,Genre_Thriller,Genre_Romance,Genre_Biography,Genre_Mystery,Genre_Animation,Genre_Sci-Fi,Genre_Fantasy,Genre_Family,Genre_History,Genre_War,Genre_Music,Genre_Horror,Genre_Western,Genre_Film-Noir,Genre_Sport,Genre_Musical
Once Upon a Time... in Hollywood,2019,2010,Restricted,161,7.6,83.0,-0.7,551309,13.22,142502728.0,18.775,Quentin Tarantino,Leonardo Dicaprio,Brad Pitt,Margot Robbie,Emile Hirsch,6.75,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nelyubov,2017,2010,Restricted,127,7.6,86.0,-1.0,29765,10.301,566356.0,13.247,Andrey Zvyagintsev,Maryana Spivak,Aleksey Rozin,Matvey Novikov,Marina Vasileva,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Florida Project,2017,2010,Restricted,111,7.6,92.0,-1.6,95181,11.464,5904366.0,15.591,Sean Baker,Brooklynn Prince,Bria Vinaite,Willem Dafoe,Christopher Rivera,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Just Mercy,2019,2010,Restricted,137,7.6,68.0,0.8,46739,10.752,845464.0,13.648,Destin Daniel Cretton,Michael B. Jordan,Jamie Foxx,Brie Larson,Charlie Pye Jr.,2.5,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Gifted,2017,2010,Parental Guidance,101,7.6,60.0,1.6,99643,11.509,24801212.0,17.026,Marc Webb,Chris Evans,Mckenna Grace,Lindsay Duncan,Octavia Spencer,2.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Peanut Butter Falcon,2019,2010,Parental Guidance,97,7.6,70.0,0.6,66346,11.103,13122642.0,16.39,Tyler Nilson,Michael Schwartz,Zack Gottsagen,Ann Owens,Dakota Johnson,1.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victoria,2015,2010,Unknown,138,7.6,77.0,-0.1,52903,10.876,1752214.0,14.376,Sebastian Schipper,Laia Costa,Frederick Lau,Franz Rogowski,Burak Yigit,1.25,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mustang,2015,2010,Parental Guidance,97,7.6,83.0,-0.7,35785,10.485,845464.0,13.648,Deniz Gamze Ergüven,Günes Sensoy,Doga Zeynep Doguslu,Tugba Sunguroglu,Elit Iscan,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guardians of the Galaxy Vol. 2,2017,2010,Parental Guidance,136,7.6,67.0,0.9,569974,13.253,389813101.0,19.781,James Gunn,Chris Pratt,Zoe Saldana,Dave Bautista,Vin Diesel,3.0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baby Driver,2017,2010,Parental Guidance,113,7.6,86.0,-1.0,439406,12.993,107825862.0,18.496,Edgar Wright,Ansel Elgort,Jon Bernthal,Jon Hamm,Eiza González,1.75,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Only the Brave,2017,2010,Parental Guidance,134,7.6,72.0,0.4,58371,10.975,18340051.0,16.725,Joseph Kosinski,Josh Brolin,Miles Teller,Jeff Bridges,Jennifer Connelly,5.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bridge of Spies,2015,2010,Parental Guidance,142,7.6,81.0,-0.5,287659,12.57,72313754.0,18.097,Steven Spielberg,Tom Hanks,Mark Rylance,Alan Alda,Amy Ryan,4.75,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Incredibles 2,2018,2010,Parental Guidance,118,7.6,80.0,-0.4,250057,12.429,608581744.0,20.227,Brad Bird,Craig T. Nelson,Holly Hunter,Sarah Vowell,Huck Milner,1.5,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Moana,2016,2010,All Ages,107,7.6,81.0,-0.5,272784,12.516,248757044.0,19.332,Ron Clements,John Musker,Don Hall,Chris Williams,Auli'I Cravalho,1.75,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Sicario,2015,2010,Restricted,121,7.6,82.0,-0.6,371291,12.825,46889293.0,17.663,Denis Villeneuve,Emily Blunt,Josh Brolin,Benicio Del Toro,Jon Bernthal,3.75,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Creed,2015,2010,Restricted,133,7.6,82.0,-0.6,247666,12.42,109767581.0,18.514,Ryan Coogler,Michael B. Jordan,Sylvester Stallone,Tessa Thompson,Phylicia Rashad,1.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Leviafan,2014,2010,Restricted,140,7.6,92.0,-1.6,49397,10.808,1092800.0,13.904,Andrey Zvyagintsev,Aleksey Serebryakov,Elena Lyadova,Roman Madyanov,Vladimir Vdovichenkov,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hell or High Water,2016,2010,Restricted,102,7.6,88.0,-1.2,204175,12.227,26862450.0,17.106,David Mackenzie,Chris Pine,Ben Foster,Jeff Bridges,Gil Birmingham,3.25,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Philomena,2013,2010,Parental Guidance,98,7.6,77.0,-0.1,94212,11.453,37707719.0,17.445,Stephen Frears,Judi Dench,Steve Coogan,Sophie Kennedy Clark,Mare Winningham,1.5,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Dawn of the Planet of the Apes,2014,2010,Parental Guidance,130,7.6,79.0,-0.3,411599,12.928,208545589.0,19.156,Matt Reeves,Gary Oldman,Keri Russell,Andy Serkis,Kodi Smit-Mcphee,2.5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El cuerpo,2012,2010,Unknown,112,7.6,81.0,-0.5,57549,10.96,1752214.0,14.376,Oriol Paulo,Jose Coronado,Hugo Silva,Belén Rueda,Aura Garrido,1.5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Serbuan maut,2011,2010,Restricted,101,7.6,73.0,0.3,190531,12.158,4105123.0,15.228,Gareth Evans,Iko Uwais,Ananda George,Ray Sahetapy,Donny Alamsyah,1.25,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
End of Watch,2012,2010,Restricted,109,7.6,68.0,0.8,228132,12.338,41003371.0,17.529,David Ayer,Jake Gyllenhaal,Michael Peña,Anna Kendrick,America Ferrera,2.75,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kari-gurashi no Arietti,2010,2010,All Ages,94,7.6,80.0,-0.4,80939,11.301,19202743.0,16.771,Hiromasa Yonebayashi,Amy Poehler,Mirai Shida,Ryûnosuke Kamiki,Tatsuya Fujiwara,2.0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
A Star Is Born,2018,2010,Parental Guidance,136,7.6,88.0,-1.2,334312,12.72,215288866.0,19.187,Bradley Cooper,Lady Gaga,Bradley Cooper,Sam Elliott,Greg Grunberg,2.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
True Grit,2010,2010,Parental Guidance,110,7.6,80.0,-0.4,311822,12.65,171243005.0,18.959,Ethan Coen,Joel Coen,Jeff Bridges,Matt Damon,Hailee Steinfeld,5.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Hævnen,2010,2010,Restricted,118,7.6,65.0,1.1,38491,10.558,1008098.0,13.824,Susanne Bier,Mikael Persbrandt,Trine Dyrholm,Markus Rygaard,Wil Johnson,1.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Despicable Me,2010,2010,All Ages,95,7.6,72.0,0.4,500851,13.124,251513985.0,19.343,Pierre Coffin,Chris Renaud,Steve Carell,Jason Segel,Russell Brand,1.5,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
50/50,2011,2010,Restricted,100,7.6,72.0,0.4,315426,12.662,35014192.0,17.371,Jonathan Levine,Joseph Gordon-Levitt,Seth Rogen,Anna Kendrick,Bryce Dallas Howard,2.25,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kick-Ass,2010,2010,Parental Guidance,117,7.6,66.0,1.0,524081,13.169,48071303.0,17.688,Matthew Vaughn,Aaron Taylor-Johnson,Nicolas Cage,Chloë Grace Moretz,Garrett M. Brown,2.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Celda 211,2009,2000,Unknown,113,7.6,74.0,0.2,63882,11.065,1642794.0,14.312,Daniel Monzón,Luis Tosar,Alberto Ammann,Antonio Resines,Manuel Morón,1.0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moneyball,2011,2010,Parental Guidance,133,7.6,87.0,-1.1,369529,12.82,75605492.0,18.141,Bennett Miller,Brad Pitt,Robin Wright,Jonah Hill,Philip Seymour Hoffman,5.75,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
La piel que habito,2011,2010,Restricted,120,7.6,70.0,0.6,138959,11.842,3185812.0,14.974,Pedro Almodóvar,Antonio Banderas,Elena Anaya,Jan Cornet,Marisa Paredes,1.25,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Zombieland,2009,2000,Restricted,88,7.6,73.0,0.3,520041,13.162,75590286.0,18.141,Ruben Fleischer,Jesse Eisenberg,Emma Stone,Woody Harrelson,Abigail Breslin,2.25,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Die Welle,2008,2000,Unknown,107,7.6,78.0,-0.2,102742,11.54,13060843.0,16.385,Dennis Gansel,Jürgen Vogel,Frederick Lau,Max Riemelt,Jennifer Ulrich,1.25,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sherlock Holmes,2009,2000,Parental Guidance,128,7.6,57.0,1.9,583158,13.276,209028679.0,19.158,Guy Ritchie,Robert Downey Jr.,Jude Law,Rachel Mcadams,Mark Strong,4.25,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Blind Side,2009,2000,Parental Guidance,129,7.6,53.0,2.3,293266,12.589,255959475.0,19.361,John Lee Hancock,Quinton Aaron,Sandra Bullock,Tim Mcgraw,Jae Head,1.5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
The Visitor,2007,2000,Parental Guidance,104,7.6,79.0,-0.3,41544,10.635,9422422.0,16.059,Tom Mccarthy,Richard Jenkins,Haaz Sleiman,Danai Gurira,Hiam Abbass,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seven Pounds,2008,2000,Parental Guidance,123,7.6,36.0,4.0,286770,12.566,69951824.0,18.063,Gabriele Muccino,Will Smith,Rosario Dawson,Woody Harrelson,Michael Ealy,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Promises,2007,2000,Restricted,100,7.6,82.0,-0.6,227760,12.336,17114882.0,16.655,David Cronenberg,Naomi Watts,Viggo Mortensen,Armin Mueller-Stahl,Josef Altin,2.75,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stardust,2007,2000,All Ages,127,7.6,66.0,1.0,255036,12.449,38634938.0,17.47,Matthew Vaughn,Charlie Cox,Claire Danes,Sienna Miller,Ian Mckellen,2.5,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
The Secret of Kells,2009,2000,Unknown,71,7.6,81.0,-0.5,31779,10.367,686383.0,13.439,Tomm Moore,Nora Twomey,Evan Mcguire,Brendan Gleeson,Mick Lally,1.75,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Inside Man,2006,2000,Restricted,129,7.6,76.0,0.0,339757,12.736,88513495.0,18.299,Spike Lee,Denzel Washington,Clive Owen,Jodie Foster,Christopher Plummer,5.75,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Gone Baby Gone,2007,2000,Restricted,114,7.6,72.0,0.4,250590,12.432,20300218.0,16.826,Ben Affleck,Morgan Freeman,Ed Harris,Casey Affleck,Michelle Monaghan,4.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
La Vie En Rose,2007,2000,Parental Guidance,140,7.6,66.0,1.0,82781,11.324,10301706.0,16.148,Olivier Dahan,Marion Cotillard,Sylvie Testud,Pascal Greggory,Emmanuelle Seigner,1.75,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
